13 1:0.00935113021945 2:0.00725758763205 3:0.00429887772878 4:0.00419460336142 5:0.00423602736062 6:0.0249161482397 7:0.0224099037334 8:0.0204996067643 9:0.0338498600674 10:0.12117464793 11:0.0256340144971 12:0.00499576516917 13:0.0450484306926 14:0.014672559229 15:0.00923518868361 16:0.0652005511437 17:0.00951166315544 18:0.0758420979268 19:0.0168183290388 20:0.167847924186 21:0.0739956204019 22:0.189654435553 23:0.0125549943372 24:0.0673715338181 25:0.0818967246229 26:0.0132757862384 27:0.0924029959309 28:0.328770707789 29:0.0911975684908 30:0.0274391047003 31:0.037272754642 32:0.042285886196 33:0.413940729616 34:0.0549714965995 35:0.0507162758917 36:0.0923817638433 37:0.320901315483 38:0.0977802254555 39:0.231491291632 40:0.380348361485 41:0.213554078644 42:0.223979789756 43:0.729237462861 44:0.0842017918158 45:0.621806739225 46:0.111574953928 47:0.681835173134 48:0.219820836647 49:0.67267098985 50:0.252999322523 51:0.442941605211 52:0.752910502095 53:0.419200112583 54:0.848830483299 55:1.0 56:0.917525168903 57:0.778476290731 58:0.660736496736 59:0.722033264555 60:0.731591522093 61:0.726457985036 62:0.727192414978 63:0.808131898972 64:0.750031046508 65:0.691323704812 66:0.930044983908 67:0.965601301667 68:0.819519374036 69:0.724517661081 70:0.626961561773 71:0.588111745396 72:0.634930426298 73:0.683820082195 74:0.537330903897 75:0.638050864659 76:0.517831827608 77:0.52952791157 78:0.532385346963 79:0.523301275883 80:0.506113890519 81:0.499909069488 82:0.498683339939 
24 1:0.00433542606093 2:0.00181792691404 3:0.000396470786772 4:0.00180859456104 5:0.00608452056041 6:0.0386207162668 7:0.0235307853272 8:0.0144655479977 9:0.0186437924 10:0.0549321483428 11:0.00952930290332 12:0.00233981680359 13:0.027286110356 14:0.00920208951193 15:0.00257624414266 16:0.0294662371173 17:0.0054011325047 18:0.0549437476817 19:0.0378982432296 20:0.191692422185 21:0.0415971821695 22:0.0215294344605 23:0.0123224713263 24:0.0213834875903 25:0.0350835278633 26:0.0306584520755 27:0.201328896154 28:0.103189257496 29:0.0655327924107 30:0.0638744359291 31:0.157811694563 32:0.230678385353 33:0.0538822304983 34:0.0179824773267 35:0.0389707029483 36:0.22852037477 37:0.0715301707229 38:0.0634017985938 39:0.345944302359 40:0.0853256213815 41:0.140971728109 42:0.317192459131 43:0.107756365157 44:0.529919780262 45:0.173329741304 46:0.522030196844 47:0.127819484524 48:0.363880444586 49:0.306781421509 50:0.290600241459 51:0.451035030461 52:0.448534090472 53:0.554786764523 54:0.533043343487 55:0.701698518269 56:0.698081793567 57:0.513684259819 58:0.60525917701 59:0.559260859764 60:0.598865614425 61:0.722777729319 62:0.649242086826 63:0.587665776801 64:0.665940181861 65:0.622703056513 66:0.738001917757 67:1.0 68:0.977074023327 69:0.817089873567 70:0.804110669283 71:0.729095673449 72:0.765911752055 73:0.820420102359 74:0.746409143574 75:0.721120386317 76:0.715201845023 77:0.734109525427 78:0.708884323231 79:0.704253762558 80:0.815859243465 81:0.815486310303 82:0.800622007362 
24 1:0.00682533493529 2:0.00445515870459 3:0.00165449617079 4:0.000640932207817 5:0.00339402036672 6:0.032985233853 7:0.0231352694473 8:0.0159868514767 9:0.0214069652501 10:0.0604248463957 11:0.00869548328444 12:0.00464961626956 13:0.0311643605055 14:0.00754189955121 15:0.00618737345301 16:0.0220353577086 17:0.00907095274742 18:0.0245108538395 19:0.0215731707636 20:0.224032355022 21:0.0505767651734 22:0.0368977110137 23:0.0107294619294 24:0.0296817258342 25:0.0606805792285 26:0.0224742456286 27:0.160585574642 28:0.168623934981 29:0.0729182964366 30:0.0448278764286 31:0.0356244136914 32:0.352524390101 33:0.0495778138759 34:0.0392324169729 35:0.0604163446738 36:0.204384133961 37:0.12858177898 38:0.0298139145297 39:0.331385715499 40:0.0712050865841 41:0.122880681602 42:0.436830829659 43:0.14306143538 44:0.486017417284 45:0.123698225034 46:0.452050301325 47:0.280628395396 48:0.430246243164 49:0.249678892545 50:0.492850447388 51:0.528400393518 52:0.516712937061 53:0.549126765384 54:0.8541547344 55:0.832667705531 56:0.709819460809 57:0.684201819046 58:0.575513801256 59:0.658977323008 60:0.563221318171 61:0.576616822835 62:0.638855378494 63:0.621247937124 64:0.467697626855 65:0.832988114735 66:0.697337852399 67:1.0 68:0.971001871468 69:0.668263858685 70:0.63182040211 71:0.612733093535 72:0.616480175823 73:0.720883139861 74:0.691135144379 75:0.685425845454 76:0.647929838892 77:0.611069906214 78:0.609789805 79:0.592456190935 80:0.539522161772 81:0.397483859029 82:0.383686229403 
24 1:0.00683364139541 2:0.00384928544094 3:0.000997002702207 4:0.000919469033426 5:0.00483607727431 6:0.0353278193299 7:0.0223363215825 8:0.0137303388962 9:0.0167453806308 10:0.0440805237171 11:0.00615627089903 12:0.00308833755554 13:0.0207190286698 14:0.0068589452838 15:0.00376879937236 16:0.0207460505253 17:0.00872438268106 18:0.0220617970579 19:0.0289183618244 20:0.178743281355 21:0.0359788992299 22:0.0262970486586 23:0.00896694691771 24:0.0111043113565 25:0.0398422825742 26:0.022999895453 27:0.180632109395 28:0.107698461341 29:0.0604951752896 30:0.0658104541657 31:0.105227141614 32:0.258102035041 33:0.062950792745 34:0.0370468864934 35:0.00769944907626 36:0.199962638068 37:0.119668499849 38:0.116004166487 39:0.347295901455 40:0.0812768242452 41:0.0494610000874 42:0.378394035409 43:0.198866155175 44:0.568526329465 45:0.197374517713 46:0.432495043921 47:0.0943861998963 48:0.407160941816 49:0.325742450993 50:0.31419490989 51:0.454940402925 52:0.629064312375 53:0.415557430226 54:0.625162827564 55:0.786346804144 56:0.510885472811 57:0.534101173239 58:0.581373096251 59:0.50286821143 60:0.534025555874 61:0.546432666154 62:0.573675794882 63:0.428352181579 64:0.654834155021 65:0.586252593666 66:0.964358036341 67:1.0 68:0.838971622913 69:0.668426220876 70:0.669597141196 71:0.656088940445 72:0.578915328436 73:0.619412147585 74:0.567664821833 75:0.604647267521 76:0.532800321867 77:0.530446689159 78:0.565997555664 79:0.614902109287 80:0.583150152921 81:0.556377893887 82:0.522019971276 
27 1:0.00137236885377 2:0.000799828335918 3:0.000362508234205 4:0.000409311666263 5:0.000736193067464 6:0.00314649558143 7:0.00140458350732 8:0.000642974530263 9:0.00113128337356 10:0.00552566756385 11:0.0016170224991 12:0.00146629379924 13:0.00923252915168 14:0.00321524905249 15:0.00278042507962 16:0.0156397510291 17:0.00306423115051 18:0.0248196889819 19:0.00545747048448 20:0.0448198922164 21:0.0102184581683 22:0.174855045163 23:0.049955843686 24:0.131427346595 25:0.0505212578618 26:0.00496268264083 27:0.0280280662592 28:0.0210249156184 29:0.0176723248727 30:0.012821875024 31:0.00982833890699 32:0.00772355445288 33:0.00388435866134 34:0.0339593273471 35:0.324739733236 36:0.0699531997117 37:0.0646846157141 38:0.0448328447986 39:0.0912836062112 40:0.0949516022805 41:0.201811330976 42:0.693514823274 43:0.14371863505 44:0.0428829567046 45:0.014331481747 46:0.082214265052 47:0.693419738813 48:0.154642641727 49:0.148336786241 50:0.288605666415 51:0.537608293233 52:0.0729028384843 53:0.241413460378 54:1.0 55:0.235695258556 56:0.511863209979 57:0.48393234259 58:0.177552995427 59:0.722135860993 60:0.0852634493448 61:0.624695671167 62:0.0859782756698 63:0.517585657287 64:0.35661642023 65:0.0805485785508 66:0.379669099529 67:0.349050279003 68:0.124269648731 69:0.240942889929 70:0.307005736696 71:0.267780594773 72:0.241516211245 73:0.206781237852 74:0.189273828752 75:0.189134240011 76:0.192044542923 77:0.113788086575 78:0.104634632341 79:0.126123094491 80:0.0674163346043 81:0.0789491731224 82:0.0597368597857 
14 1:0.000791128942199 2:0.00172318249585 3:0.00171582493796 4:0.00222355636729 5:0.00277916872944 6:0.00415928470195 7:0.00655459329893 8:0.0100983007231 9:0.0223859196449 10:0.105390893851 11:0.0327183551444 12:0.0149325059906 13:0.0139234470086 14:0.0109572252683 15:0.00835223524773 16:0.0112830990236 17:0.00908948199549 18:0.0119161262344 19:0.0147117515981 20:0.0254527979028 21:0.0372341834761 22:0.271546908817 23:0.0298795436665 24:0.0172379232381 25:0.0113562477403 26:0.00579407810869 27:0.0116193696416 28:0.0302622689168 29:0.304895093644 30:0.017290056103 31:0.0101645693324 32:0.0123785350103 33:0.0353088491598 34:0.30015980734 35:0.0232763248538 36:0.00997075813623 37:0.0451495023069 38:0.275171720029 39:0.0344769885858 40:0.0455638425118 41:0.427520737856 42:0.059856038448 43:0.114938562911 44:0.593790638103 45:0.0702663966813 46:0.54131240043 47:0.117815647354 48:0.440741230002 49:0.118055845744 50:0.429412146649 51:0.229162191259 52:0.567304851259 53:0.764349106418 54:0.555592597759 55:0.651479998428 56:0.741110507954 57:0.716151808666 58:0.729656483171 59:0.672180050128 60:0.71658538977 61:0.630243107474 62:0.594499225023 63:0.665368143188 64:0.599126965253 65:0.479929865024 66:0.844185873562 67:0.700141727399 68:1.0 69:0.656074159286 70:0.616704691694 71:0.649430729715 72:0.657085832983 73:0.680358688414 74:0.65441569567 75:0.535134628269 76:0.656592941619 77:0.607175918583 78:0.62058411193 79:0.640484694146 80:0.643780989719 81:0.59773172091 82:0.566431402623 
28 1:0.00338534371784 2:0.00218517590559 3:0.000795988169712 4:0.000320337505186 5:0.0010621435083 6:0.00877051934064 7:0.00477575606941 8:0.00167406524044 9:0.00552459168294 10:0.0526857087343 11:0.0261280708614 12:0.0246755556395 13:0.0881214699361 14:0.0249710786141 15:0.00953951385092 16:0.0281861377122 17:0.00525165335792 18:0.02687807058 19:0.0097658996704 20:0.022191987956 21:0.00817858308731 22:0.033718024137 23:0.0344968091757 24:0.253144601934 25:0.0732316482458 26:0.00433686304706 27:0.0232656793402 28:0.0405557891774 29:0.0470343418654 30:0.144086703166 31:0.283618012692 32:0.0560955701653 33:0.0476178073069 34:0.0206374584338 35:0.010793733384 36:0.272764942708 37:0.130078853554 38:0.0853184032007 39:0.268530438844 40:0.384665248858 41:0.0398319690907 42:0.0962566014647 43:0.61546001235 44:0.169753155272 45:0.186544473317 46:0.385958928862 47:0.123542979513 48:0.599231701766 49:0.185983919187 50:0.472651691975 51:0.262337503699 52:0.666299363411 53:0.597598969424 54:0.503026185981 55:1.0 56:0.643940947626 57:0.465542728647 58:0.554503268907 59:0.768547918313 60:0.681644451074 61:0.657837213958 62:0.578094252782 63:0.574529017577 64:0.555662910477 65:0.732502076231 66:0.597502395912 67:0.5183975903 68:0.711845228309 69:0.457840823851 70:0.54091617016 71:0.426791017165 72:0.339108128999 73:0.300314800047 74:0.260251987286 75:0.202371426153 76:0.164593189651 77:0.14090450671 78:0.0917630453198 79:0.0650573275902 80:0.0435094806777 81:0.0230997561537 82:0.0144524124895 
18 1:0.0136220773675 2:0.00772674263754 3:0.00322360353014 4:0.00275987716688 5:0.00275280324745 6:0.00639075642533 7:0.00475171463589 8:0.00414678921791 9:0.00471516212649 10:0.00838247610719 11:0.00688849245749 12:0.0115646924186 13:0.0723274001148 14:0.0317651968225 15:0.0162039983686 16:0.0252086042957 17:0.0179935512842 18:0.0224685188433 19:0.0222875724345 20:0.165172476757 21:0.0414279086965 22:0.0599810636176 23:0.0198441704588 24:0.0455632414053 25:0.259939280247 26:0.0223088310722 27:0.0525362147315 28:0.144754736631 29:0.445139483792 30:0.0998178897575 31:0.11122813796 32:0.305884304795 33:0.0844688588877 34:0.150929827573 35:0.472504186376 36:0.184554512243 37:0.547536291794 38:0.223941829285 39:0.682575151834 40:0.425112173741 41:0.546828009266 42:0.69448114439 43:0.885065462897 44:0.866967379301 45:0.719278530014 46:0.802136668357 47:0.859356274119 48:0.858155572131 49:0.847960286572 50:0.826649162991 51:0.972967033911 52:1.0 53:0.989448748666 54:0.855843739865 55:0.753575892321 56:0.588605149081 57:0.538388425815 58:0.397602362201 59:0.418943007093 60:0.325239068371 61:0.25453376531 62:0.2113038405 63:0.187625475794 64:0.0905198601389 65:0.0655954580703 66:0.0957639018062 67:0.0684583896044 68:0.0434176230489 69:0.0316828206697 70:0.0334026874238 71:0.0166651817071 72:0.0244053227311 73:0.0298912151495 74:0.0339615847582 75:0.0304873614818 76:0.0444926673178 77:0.0129800860402 78:0.0190514109938 79:0.0170870915751 80:0.0100156300152 81:0.00911110133752 82:0.0142957521399 
30 1:0.00281788310558 2:0.00128007372287 3:0.000191554977839 4:0.000465630683521 5:0.00143978095924 6:0.00626816444829 7:0.0021188573152 8:0.000652623136298 9:0.00329863902621 10:0.0156510479764 11:0.00251327859119 12:0.00796646338878 13:0.0852738919703 14:0.0440118246178 15:0.0311186486827 16:0.066504310669 17:0.00423029145403 18:0.0340600496761 19:0.00425867266251 20:0.0247327992026 21:0.00389010678032 22:0.0325428081346 23:0.00389952788997 24:0.0370930221952 25:0.104686728361 26:0.0439661125416 27:0.218470051013 28:0.0620295813724 29:0.0300401611951 30:0.0294097882801 31:0.017820533161 32:0.0153835555554 33:0.357085455389 34:0.0372061333437 35:0.0451451842749 36:0.0554058225914 37:0.0839563454498 38:0.251972366836 39:0.219816456704 40:0.0753540682251 41:0.108060068418 42:0.626314927821 43:0.133312394071 44:0.0548222743255 45:0.449859729183 46:0.112869874436 47:0.121353860675 48:0.543310939511 49:0.222016984976 50:0.606293259125 51:0.0943306745534 52:0.685193282417 53:0.296002660019 54:1.0 55:0.430179540536 56:0.723295027766 57:0.524566047839 58:0.398107555546 59:0.62520770523 60:0.619899051019 61:0.607466367081 62:0.622416629713 63:0.581266730579 64:0.559421180141 65:0.548857974659 66:0.509349326418 67:0.514450553897 68:0.758828131693 69:0.588918635447 70:0.43467856834 71:0.613084367167 72:0.440906657346 73:0.426331803866 74:0.53216967907 75:0.447507789375 76:0.4350102724 77:0.414408335431 78:0.433619080366 79:0.404143447561 80:0.381041413808 81:0.320171223703 82:0.325569677143 
42 1:0.00181364560273 2:0.00126770196852 3:0.0005984126734 4:0.000470297516592 5:0.000560247401545 6:0.0036609904254 7:0.00226358303259 8:0.00109912774489 9:0.000887208410827 10:0.00618629260883 11:0.00261095741655 12:0.00110128831313 13:0.0089273289206 14:0.00480456285663 15:0.00165888527396 16:0.0151787072315 17:0.00332366643734 18:0.0195142821194 19:0.00671388685858 20:0.025206397359 21:0.00772236668028 22:0.0413004843021 23:0.0069065391078 24:0.0696942704102 25:0.171788130218 26:0.0577738410572 27:0.250587663154 28:0.0801059865539 29:0.0450514705636 30:0.0320495505704 31:0.0270564785477 32:0.0203116459016 33:0.0198310490761 34:0.0196440470532 35:0.0205679315774 36:0.0369032061416 37:0.0720192179297 38:0.306596347649 39:0.122054260774 40:0.0310129769927 41:0.0280006417105 42:0.0175787787932 43:0.0258489176291 44:0.0556079741381 45:0.779090246914 46:0.173129335872 47:0.0997714819728 48:0.0881867566093 49:0.145570893483 50:0.820464883132 51:0.301186025094 52:0.189754680233 53:0.200632399493 54:1.0 55:0.0450973657501 56:0.104337258276 57:0.90907828468 58:0.26543659524 59:0.225166660371 60:0.76243399981 61:0.0855011530061 62:0.555978649966 63:0.0607260018573 64:0.602078561899 65:0.0697601514317 66:0.644893700083 67:0.113582872382 68:0.577603944083 69:0.48016828438 70:0.1941401767 71:0.285968378807 72:0.408921875543 73:0.392432234311 74:0.368510207279 75:0.350767178963 76:0.320993463983 77:0.296427369565 78:0.303857605004 79:0.274173593832 80:0.404970383821 81:0.245674803939 82:0.266628333135 
